code,name,current_price,historical_high,drop_pct,latest_date,has_st
sz.300379,东通退,1.24,31.46,-96.05848696757788,2025-12-31,True
sz.002693,*ST双成,6.96,40.98,-83.01610541727672,2025-12-31,True
sh.600818,中路股份,9.59,32.23,-70.24511324852621,2025-12-31,False
sh.688184,ST帕瓦,9.28,33.56,-72.34803337306317,2025-12-31,True
sh.600199,金种子酒,9.68,31.48,-69.25031766200762,2025-12-31,False
sz.002129,TCL中环,8.57,39.86,-78.49974912192674,2025-12-31,False
sh.603398,*ST沐邦,8.27,34.69,-76.16027673681177,2025-12-31,True
unknown.920575,康乐卫士,8.27,31.6,-73.82911392405063,2025-12-31,False
unknown.920680,广道退,0.86,35.98,-97.60978321289605,2025-12-31,True
sz.300799,左江退,1.08,299.8,-99.63975983989327,2024-07-26,True
sz.300630,普利退,0.89,32.5,-97.26153846153845,2025-05-21,True
sz.300280,紫天退,0.33,63.65,-99.4815396700707,2025-10-13,True
