code,name,price,market_cap,roe,change_5d,change_20d,trend,ma20,ma60,score
sh.603355,莱克电气,31.73,181.93838263,24.81,2.5864856126737816,-6.179775280898876,上升,31.3345,29.222333333333335,100
sh.603737,三棵树,46.27,341.38814476,24.92,-0.28017241379309366,3.1201248049922126,上升,45.51049999999999,44.89666666666667,95
sh.603379,三美股份,60.72,370.68287127,22.33,1.2168694782463692,7.279151943462893,上升,58.895500000000006,56.18416666666667,95
sh.600961,株冶集团,16.1,172.73250518,28.31,-1.1056511056511038,5.228758169934645,上升,16.089000000000002,15.414333333333335,95
sz.002158,汉钟精机,25.03,133.84145199,21.8,-0.9105304829770405,6.059322033898304,上升,24.6205,24.152833333333334,95
sz.300724,捷佳伟创,95.6,332.96715774,27.98,-5.102243398848522,4.0827436037016875,上升,92.92449999999998,91.7791666666667,95
sh.688578,艾力斯,104.15,468.675,29.26,-2.362426174182053,6.134719249974534,上升,103.83099999999999,102.19216666666665,95
sh.688516,奥特维,45.26,142.66922012,31.64,-4.069520983467575,7.124260355029581,上升,44.839,43.01283333333335,95
sz.300415,伊之密,26.06,122.10727909,22.08,1.5984405458089674,4.869215291750492,上升,25.381,24.749166666666664,95
sh.603619,中曼石油,23.05,106.56901526,24.06,-0.3027681660899666,4.535147392290249,上升,22.485,22.10433333333333,95
sh.603271,永杰新材,41.08,80.812576,21.07,-2.1205623064093415,9.023354564755834,上升,41.0615,40.43183333333333,95
sz.002607,中公教育,2.74,168.98674326,28.66,1.8587360594795637,3.0075187969924837,上升,2.6955000000000005,2.673166666666667,95
sh.688605,先锋精科,64.26,130.04929547,24.97,-3.7303370786516776,6.0221085629434175,上升,62.767499999999984,62.365833333333335,95
sh.603091,众鑫股份,79.21,80.98334794,23.09,-1.8463444857497013,4.223684210526307,上升,78.86099999999999,75.80183333333335,95
sz.300638,广和通,29.64,266.54239616,20.17,6.618705035971223,5.819350232059975,上升,28.017000000000003,27.576333333333334,95
sh.603699,纽威股份,51.97,403.0409282,28.66,0.5028040997872714,7.843951027184066,上升,50.7325,49.63699999999999,95
sz.001389,广合科技,81.63,347.48870625,25.87,-0.9945421467556184,9.131016042780747,上升,79.87250000000002,74.23633333333333,95
sh.688208,道通科技,36.8,246.62750629,22.13,1.3774104683195594,8.554572271386427,上升,36.00049999999999,35.62050000000001,95
unknown.920116,星图测控,84.5,135.009875,31.93,-1.1117612638970191,-5.258437044511714,震荡,85.36600000000001,76.01483333333336,90
sh.603049,中策橡胶,55.95,489.27469208,24.01,-0.19621833749553946,-7.013461858068803,震荡,57.35200000000001,56.10950000000001,90
sh.688313,仕佳光子,88.78,401.273462,22.34,-0.6268188941123822,-9.222903885480568,震荡,94.73749999999998,81.92233333333334,90
sh.603613,国联股份,28.0,201.75058764,20.24,2.3765996343692817,-5.40540540540541,震荡,27.890499999999996,28.206833333333332,90
unknown.920982,锦波生物,233.7,268.90769958,58.41,-6.501300260052011,-7.518796992481204,震荡,249.5275,242.62399999999997,90
sh.688278,特宝生物,83.68,341.57295686,37.69,0.8435767654856626,-0.33349213911384823,上升,83.39450000000001,79.11233333333332,90
sh.603360,百傲化学,32.22,227.54526132,20.51,1.704545454545452,-5.235294117647062,震荡,31.326500000000003,31.353166666666667,90
sz.300972,万辰集团,201.07,379.80398222,54.26,-1.556915544675646,12.411248392687419,上升,194.0475,184.54066666666665,85
sz.301479,弘景光电,87.02,77.41763278,32.63,1.5402567094515671,6.433463796477483,震荡,85.708,87.38266666666667,85
sh.603855,华荣股份,19.35,65.3083785,23.25,-0.15479876160989467,0.4151530877010994,震荡,19.288000000000004,19.468666666666664,85
sh.603236,移远通信,95.41,274.61232407,16.69,2.162972480993678,6.567630961688814,上升,93.3415,92.27849999999998,85
sh.600132,重庆啤酒,52.24,252.82655384,76.69,-0.5141877737573719,0.2494722701976637,震荡,52.8245,52.49333333333332,85
sh.688692,达梦数据,261.27,295.862148,15.34,2.0187426786411398,1.523217408198935,上升,260.783,259.23333333333335,85
sh.688100,威胜信息,39.3,193.23227378,20.39,1.028277634961436,10.735418427726104,上升,37.525999999999996,36.535000000000004,85
sz.300192,科德教育,21.13,69.54798542,15.96,-2.1306160259379383,8.358974358974354,上升,20.730499999999996,19.73783333333334,85
sh.605016,百龙创园,21.6,90.72266112,15.42,-0.5524861878452921,8.980827447023215,上升,21.3185,20.664499999999997,85
sh.600211,西藏药业,42.55,137.1468179,28.78,1.7942583732057416,1.7455762792921972,震荡,42.001499999999986,43.81283333333334,85
sz.002895,川恒股份,36.66,222.77060599,16.19,-0.16339869281046374,3.7057991513436916,上升,36.096999999999994,35.01416666666666,85
sh.603505,金石资源,18.68,157.22373427,15.66,-1.1640211640211582,4.066852367688025,上升,18.572000000000003,18.44183333333334,85
sh.601882,海天精工,19.46,101.5812,21.05,-0.2562788313685326,2.2058823529411855,震荡,19.270000000000003,19.53533333333333,85
sh.605333,沪光股份,29.83,138.42325311,35.88,-2.0361247947454877,0.9475465313028684,震荡,29.7425,30.61916666666666,85
sz.002043,兔 宝 宝,14.41,119.56762057,19.31,0.9103641456582687,6.978470675575349,上升,14.131499999999999,13.482833333333334,85
sh.603665,康隆达,31.92,51.42664939,19.87,-0.5607476635514009,5.3465346534653495,上升,31.075999999999993,29.823833333333337,85
sh.603766,隆鑫通用,16.11,330.82559204,16.27,3.335471456061575,1.8331226295828011,上升,15.850000000000003,14.625333333333334,85
sz.300100,双林股份,39.62,226.61964083,20.45,1.433691756272389,6.362416107382543,震荡,38.001,38.43016666666666,85
sz.003006,百亚股份,21.84,93.83507734,20.83,3.213610586011341,9.63855421686746,震荡,21.192499999999995,21.736333333333334,85
sz.002801,微光股份,35.41,81.3126912,16.57,1.3161659513590664,6.656626506024077,上升,33.955000000000005,33.61466666666667,85
sz.002170,芭田股份,12.18,117.86220076,19.55,0.9950248756218841,2.6116259477674855,上升,11.983,11.8075,85
sh.603400,华之杰,52.29,52.29,23.19,-0.20992366412213634,0.2108087389804512,震荡,52.244499999999995,54.8215,85
sz.300002,神州泰岳,11.52,226.61842936,22.15,2.85714285714286,4.442429737080691,震荡,11.285,11.615333333333334,85
sh.688300,联瑞新材,62.09,149.92822007,17.81,-2.6039215686274453,7.347856154910096,上升,61.29749999999999,59.0965,85
